name,group,Win,Lose,AGT,Kill,Death,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB(%),FT(%),F3T(%),HLD(%),FD(%),DRG(%),ELD%,FBN(%),BN(%),LNE%,JNG%,WPM,CWPM,WCPM,Win Rate,Team
Astralis,Astralis,3,12,33.3,163,256,0.64,0.84,-1.6,-9.60%,31.8,-11.8,-1642,33,47,20,37,40,41,0%,27,30,49.30%,44.20%,3.22,131.00%,1.24,0.2,Astralis
Excel Esports,Excel Esports,5,10,33.8,140,229,0.61,0.73,-1.31,-10.20%,31.7,1.6,-1554,27,70,33,39,47,39,50%,20,33,49.70%,45.40%,3.17,125.00%,1.23,0.333333333,Excel Esports
FC Schalke 04 Esports,FC Schalke 04 Esports,6,9,34.4,157,206,0.76,0.7,-0.08,-2.70%,45.1,-5.1,-22,53,47,67,47,33,39,0%,40,35,50.10%,46.90%,3.48,136.00%,1.35,0.4,FC Schalke 04 Esports
Fnatic,Fnatic,9,6,29.6,249,233,1.07,1.08,1.03,5.70%,61.8,-1.8,844,47,67,53,48,80,62,100%,67,62,49.70%,55.00%,3.17,135.00%,1.15,0.6,Fnatic
G2 Esports,G2 Esports,13,2,34.2,288,174,1.66,0.9,1.43,9.40%,68.4,18.3,1293,47,60,80,60,60,74,100%,80,74,50.30%,57.00%,3.36,119.00%,1.47,0.866666667,G2 Esports
MAD Lions,MAD Lions,9,6,31.9,215,211,1.02,0.89,0.49,2.90%,59.5,0.5,568,60,60,60,73,47,60,0%,53,50,50.20%,53.10%,3.46,136.00%,1.38,0.6,MAD Lions
Misfits Gaming,Misfits Gaming,6,9,32.7,208,203,1.02,0.84,-0.06,2.90%,53.7,-13.7,724,73,60,60,55,47,52,0%,53,55,50.00%,51.10%,3.11,117.00%,1.28,0.4,Misfits Gaming
Rogue,Rogue,12,3,33.9,233,131,1.78,0.72,1.27,8.20%,65.3,14.7,1225,60,80,73,50,73,56,67%,53,55,51.20%,54.30%,3.34,103.00%,1.5,0.8,Rogue
SK Gaming,SK Gaming,8,7,31.8,187,163,1.15,0.73,-0.35,-1.10%,40,13.3,-721,53,33,33,48,40,40,,47,50,49.70%,47.90%,2.92,106.00%,1.17,0.533333333,SK Gaming
Team Vitality,Team Vitality,4,11,36,146,183,0.8,0.61,-0.68,-5.60%,42.7,-16,-717,47,40,20,41,33,42,50%,53,54,49.80%,45.00%,3.43,139.00%,1.48,0.266666667,Team Vitality
